Species# guide;Family;Genus;species;Scientific Name;Link Scientific name to Description in Cajas Flora;Flora base link;flora key;Author;;flower color1;flower color2;Life form1/forma de vida;Life form2/forma de vida;3. Photographer;4. Copyright;5. Photo date;8. Photo local    ;Link Scientif Name to Names in Tropicos;tropicos id;tropicos link
52;Piperaceae;Peperomia;graveolens;Peperomia graveolens;Peperomia graveolens Rauh & Barthlott;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Peperomia+graveolens;52. Peperomia graveolens Rauh & Barthlott;;brown;green;herb;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;25004174;http://www.tropicos.org/Name/25004174
79;Asteraceae  ;Perezia;pungens;Perezia pungens;Perezia pungens (Bonpl.) Less.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Perezia+pungens;79. Perezia pungens (Humb. & Bonpl.) Less.;;purple;;rosette;herb;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;2707362;http://www.tropicos.org/Name/2707362
14;Ericaceae;Pernettya;prostrata;Pernettya prostrata;Pernettya prostrata (Cav.) DC.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Pernettya+prostrata;14. Pernettya prostrata (Cav.) DC.;;white;pink;shrub;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;50066293;http://www.tropicos.org/Name/50066293
74;Lentibulariaceae;Pinguicula;calyptrata;Pinguicula calyptrata;Pinguicula calyptrata Kunth;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Pinguicula+calyptrata;74. Pinguicula calyptrata Kunth;;purple;;rosette;herb;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;18300017;http://www.tropicos.org/Name/18300017
93;Plantaginaceae;Plantago;australis;Plantago australis;Plantago australis Lam.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Plantago+australis;93. Plantago australis Lam.;;brown;green;herb;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;25200077;http://www.tropicos.org/Name/25200077
87;Plantaginaceae ;Plantago;rigida;Plantago rigida;Plantago rigida Kunth;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Plantago+rigida;87. Plantago rigida Kunth;;brown;green;herb;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;25200233;http://www.tropicos.org/Name/25200233
51;Orchidaceae;Pleurothallis;coriacardia;Pleurothallis coriacardia;Pleurothallis coriacardia Rchb. f.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Pleurothallis+coriacardia;51. Pleurothallis coriacardia Rchb. f.;;brown;;herb;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;23508782;http://www.tropicos.org/Name/23508782
92;Rosaceae;Polylepis;reticulata;Polylepis reticulata;Polylepis reticulata Hieron.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Polylepis+reticulata;92. Polylepis reticulata Kunth;;green;;tree;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;27800836;http://www.tropicos.org/Name/27800836
95;Potamogetonaceae;Potamogeton;paramoanus;Potamogeton paramoanus;Potamogeton paramoanus R.R. Haynes & Holm-Nielsen;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Potamogeton+paramoanus;95. Potamogeton paramoanus Haynes & Holm-Nielsen;;brown;;acquatic;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;26300337;http://www.tropicos.org/Name/26300337
33;Rosaceae;Potentilla;dombeyi;Potentilla dombeyi;Potentilla dombeyi Nestl.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Potentilla+dombeyi;33. Potentilla dombeyi Nestl.;;yellow;;herb;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;27800748;http://www.tropicos.org/Name/27800748
82;Bromeliaceae;Puya;clava-herculis;Puya clava-herculis;Puya clava-herculis Mez & Sodiro;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Puya+clava-herculis;82. Puya clava-herculis Mez & Sodiro;;blue;;rosette;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;4302804;http://www.tropicos.org/Name/4302804
94;Ranunculaceae ;Ranunculus;flagelliformis;Ranunculus flagelliformis;Ranunculus flagelliformis Sm.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Ranunculus+flagelliformis;94. Ranunculus flagelliformis Sm.;;yellow;;acquatic;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;27100571;http://www.tropicos.org/Name/27100571
34;Ranunculaceae ;Ranunculus;praemorsus;Ranunculus praemorsus;Ranunculus peruvianus Pers.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Ranunculus+praemorsus;34. Ranunculus peruvianus Pers.;;yellow;;herb;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;27101034;http://www.tropicos.org/Name/27101034
63;Grossulariaceae;Ribes;lehmannii;Ribes lehmannii;Ribes lehmannii Janc.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Ribes+lehmannii;63. Ribes lehmannii Janc.;;pink;red;shrub;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;29100299;http://www.tropicos.org/Name/29100299
55;Rosaceae;Rubus;coriaceus;Rubus coriaceus;Rubus coriaceus Poir.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Rubus+coriaceus;55. Rubus coriaceus Poir.;;pink;;shrub;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;27800796;http://www.tropicos.org/Name/27800796
97;Cyperaceae;Scirpus;rigidus;Scirpus rigidus;Scirpus rigidus Boeck;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Scirpus+rigidus;97. Scirpus rigidus Boeck;;brown;;acquatic;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;9902187;http://www.tropicos.org/Name/9902187
42;Asteraceae ;Senecio;chionogeton;Senecio chionogeton;Senecio chionogeton Wedd.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Senecio+chionogeton;42. Senecio chionogeton Wedd.;;yellow;;herb;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;2743430;http://www.tropicos.org/Name/2743430
29;Iridaceae;Sisyrinchium;palustre;Sisyrinchium palustre;Sisyrinchium palustre Diels;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Sisyrinchium+palustre;29. Sisyrinchium palustre Diels;;yellow;;herb;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;16600587;http://www.tropicos.org/Name/16600587
60;Lamiaceae ;Stachys;elliptica;Stachys elliptica;Stachys elliptica Kunth;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Stachys+elliptica;60. Stachys elliptica Kunth;;pink;purple;rosette;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;17601420;http://www.tropicos.org/Name/17601420
57;Ericaceae;Vaccinium;floribundum;Vaccinium floribundum;Vaccinium floribundum Kunth;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Vaccinium+floribundum;57. Vaccinium floribundum Kunth;;pink;white;shrub;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;12300488;http://www.tropicos.org/Name/12300488
15;Valerianaceae;Valeriana;cernua;Valeriana cernua;Valeriana cernua B. Eriksen;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Valeriana+cernua;15. Valeriana cernua Eriksen;;white;;herb;rosette;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;33500749;http://www.tropicos.org/Name/33500749
19;Valerianaceae;Valeriana;henricii;Valeriana henricii;Valeriana henricii (Graebn.) Eriksen;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Valeriana+henricii;19. Valeriana henricii (Graebn.) Eriksen;;white;;rosette;herb;-;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;33500711;http://www.tropicos.org/Name/33500711
16;Valerianaceae;Valeriana;microphylla;Valeriana microphylla;Valeriana microphylla Kunth;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Valeriana+microphylla;16. Valeriana microphylla Kunth;;white;;shrub;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;33500229;http://www.tropicos.org/Name/33500229
17;Valerianaceae ;Valeriana;plantaginea;Valeriana plantaginea;Valeriana plantaginea Kunth;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Valeriana+plantaginea;17. Valeriana plantaginea Kunth;;white;;herb;rosette;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;33500246;http://www.tropicos.org/Name/33500246
20;Valerianaceae;Valeriana;rigida;Valeriana rigida;Valeriana rigida Ruiz & Pav.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Valeriana+rigida;20. Valeriana rigida Ruiz & Pav.;;white;;cushion;rosette;-;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;33500386;http://www.tropicos.org/Name/33500386
18;Valerianaceae;Valeriana;secunda;Valeriana secunda;Valeriana secunda B. Eriksen;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Valeriana+secunda;18. Valeriana secunda Eriksen;;white;;herb;rosette;-;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;33500758;http://www.tropicos.org/Name/33500758
8;Violaceae;Viola;pygmea;Viola pygmea;Viola pygmaea Juss. ex Poir.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Viola+pygmea;8. Viola pygmea Poir.;;purple;white;cushion;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;33800244;http://www.tropicos.org/Name/33800244
23;Asteraceae ;Werneria;nubigena;Werneria nubigena;Werneria nubigena Kunth;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Werneria+nubigena;23. Werneria nubigena Kunth;;white;;cushion;rosette;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;2711495;http://www.tropicos.org/Name/2711495
45;Asteraceae ;Werneria;pumila;Werneria pumila;Werneria pumila Kunth;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Werneria+pumila;45. Werneria pumila Kunth;;yellow;;herb;rosette;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;2709070;http://www.tropicos.org/Name/2709070
24;Asteraceae ;Werneria;pygmaea;Werneria pygmaea;Werneria pygmaea Gillies ex Hook. & Arn.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Werneria+pygmaea;24. Werneria pygmaea Gillies ex Hook. & Arn.;;white;yellow;cushion;rosette;-;-;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;2723559;http://www.tropicos.org/Name/2723559
25;Asteraceae ;Xenophyllum;humile;Xenophyllum humile;Xenophyllum humile (Kunth). V.A. Funk;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Xenophyllum+humile;25. Xenophyllum humile (Kunth). V.A. Funk;;white;yellow;rosette;herb;-;-;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;50101822;http://www.tropicos.org/Name/50101822
68;Asteraceae  ;Xenophyllum;roseum;Xenophyllum roseum;Xenophyllum roseum (Hieron.) V. A. Funk;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Xenophyllum+roseum;68. Xenophyllum roseum (Hieron.) V. A. Funk;;pink;yellow;cushion;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;50101826;http://www.tropicos.org/Name/50101826
