Species# guide;Family;Genus;species;Scientific Name;Link Scientific name to Description in Cajas Flora;Flora base link;flora key;Author;;flower color1;flower color2;Life form1/forma de vida;Life form2/forma de vida;3. Photographer;4. Copyright;5. Photo date;8. Photo local    ;Link Scientif Name to Names in Tropicos;tropicos id;tropicos link
54;Brassicaceae;Draba;steyermarkii;Draba steyermarkii;Draba steyermarkii Al-Shehbaz;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Draba+steyermarkii;54. Draba steyermarkii Al-Shehbaz;;pink;;herb;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;4104861;http://www.tropicos.org/Name/4104861
5;Ephedraceae;Ephedra;americana;Ephedra americana;Ephedra americana Humb. & Bonpl. ex Willd.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Ephedra+americana;5. Ephedra americana Willd.;;green;red;herb;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;14300006;http://www.tropicos.org/Name/14300006
37;Orchidaceae;Epidendrum;tenuicaule;Epidendrum tenuicaule;Epidendrum tenuicaule F. Lehm. & Kraenzl.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Epidendrum+tenuicaule;37. Epidendrum tenuicaule F. Lehm. & Kraenzl.;;brown;;herb;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;23509220;http://www.tropicos.org/Name/23509220
1;Equisetaceae;Equisetum;bogotense;Equisetum bogotense;Equisetum bogotense Kunth;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Equisetum+bogotense;1. Equisetum bogotense Kunth;;green;;herb;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;26605510;http://www.tropicos.org/Name/26605510
78;Apiaceae;Eryngium;humile;Eryngium humile;Eryngium humile Cav.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Eryngium+humile;78. Eryngium humile Cav.;;purple;green;rosette;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;1701117;http://www.tropicos.org/Name/1701117
84;Escalloniaceae;Escalonia;myrtilloides;Escalonia myrtilloides;Escallonia myrtilloides L.f.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Escalonia+myrtilloides;84. Escalonia myrtilloides L.f.;;green;yellow;shrub;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;29100693;http://www.tropicos.org/Name/29100693
65;Onagraceae;Fuchsia;vulcanica;Fuchsia vulcanica;Fuchsia vulcanica Andr�;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Fuchsia+vulcanica;65. Fuchsia vulcanica Andr� Kunth;;pink;;shrub;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;23200095;http://www.tropicos.org/Name/23200095
50;Rubiaceae;Galium;hypocarpium;Galium hypocarpium;Galium hypocarpium (L.) Endl. ex Griseb.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Galium+hypocarpium;50. Galium hypocarpium (L.) Endl. ex Griseb.;;orange;;herb;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;27909757;http://www.tropicos.org/Name/27909757
81;Gentianaceae;Gentiana;sedifolia;Gentiana sedifolia;Gentiana sedifolia Kunth;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Gentiana+sedifolia;81. Gentiana sedifolia Kunth;;blue;;herb;;P. M. J�rgensen;P. M. J�rgensen;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;13800257;http://www.tropicos.org/Name/13800257
71;Gentianaceae ;Gentianella;cerastioides;Gentianella cerastioides;Gentianella cerastioides (Kunth) Fabris;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Gentianella+cerastioides;71. Gentianella cerastioides (Kunth) Fabris;;purple;;herb;;P. M. J�rgensen;P. M. J�rgensen;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;13800126;http://www.tropicos.org/Name/13800126
47;Gentianaceae;Gentianella;hirculus;Gentianella hirculus;Gentianella hirculus (Griseb.) Fabris;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Gentianella+hirculus;47. Gentianella hirculus (Griseb.) Fabris;;orange;;herb;;P. M. J�rgensen;P. M. J�rgensen;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;13801755;http://www.tropicos.org/Name/13801755
48;Gentianaceae;Gentianella;hyssopofila;Gentianella hyssopofila;Gentianella hyssopofila (Kunth) Fabris;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Gentianella+hyssopofila;48. Gentianella hyssopofila (Kunth) Fabris;;orange;;herb;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;13801759;http://www.tropicos.org/Name/13801759
83;Gentianaceae;Gentianella;longibarbata;Gentianella longibarbata;Gentianella longibarbata (Gilg) Fabris;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Gentianella+longibarbata;83. Gentianella longibarbata (Gilg) Fabris;;green;;herb;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;13801791;http://www.tropicos.org/Name/13801791
72;Gentianaceae;Gentianella;rapunculoides;Gentianella rapunculoides;Gentianella rapunculoides (Willd. ex Schult.) J. S. Pringle;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Gentianella+rapunculoides;72. Gentianella rapunculoides (Willd. ex Schult.) J. S. Pringle;;purple;;herb;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;/13800128;http://www.tropicos.org/Name//13800128
69;Geraniaceae;Geranium;multipartitum;Geranium multipartitum;Geranium multipartitum Benth.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Geranium+multipartitum;69. Geranium multipartitum Kunth;;pink;white;rosette;herb;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;13900186;http://www.tropicos.org/Name/13900186
32;Rosaceae;Geum;peruvianum;Geum peruvianum;Geum peruvianum Focke;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Geum+peruvianum;32. Geum peruvianum Focke;;yellow;;herb;rosette;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;27800530;http://www.tropicos.org/Name/27800530
38;Asteraceae  ;Gynoxys;cuicochensis;Gynoxys cuicochensis;Gynoxys cuicochensis Cuatrec.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Gynoxys+cuicochensis;38. Gynoxys cuicochensis Cuatrec.;;yellow;;shrub;;-;-;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;2743344;http://www.tropicos.org/Name/2743344
39;Asteraceae  ;Gynoxys;miniphylla;Gynoxys miniphylla;Gynoxys miniphylla Cuatrec.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Gynoxys+miniphylla;39. Gynoxys miniphylla Cuatrec.;;yellow;;shrub;;-;-;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;2733857;http://www.tropicos.org/Name/2733857
90;Gentianaceae;Halenia;serpyllifolia;Halenia serpyllifolia;Halenia serpyllifolia J. S. Pringle;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Halenia+serpyllifolia;90. Halenia serpyllifolia J. S. Pringle;;green;;herb;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;13803175;http://www.tropicos.org/Name/13803175
7;Rosaceae;Hesperomeles;obtusifolia;Hesperomeles obtusifolia;Hesperomeles obtusifolia (Pers.) Lindl.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Hesperomeles+obtusifolia;7. Hesperomeles obtusifolia (Pers.) Lindl.;;white ;pink;shrub;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;27801590;http://www.tropicos.org/Name/27801590
43;Asteraceae ;Hieracium;frigidum;Hieracium frigidum;Hieracium frigidum Wedd.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Hieracium+frigidum;43. Hieracium frigidum Wedd.;;yellow;;herb;;C. Ulloa;;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;2737073;http://www.tropicos.org/Name/2737073
2;Lycopodiaceae;Huperzia;crassa;Huperzia crassa;Huperzia crassa (Humb. & Bonpl. ex Willd.) Rothm.;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Huperzia+crassa;2. Huperzia crassa (Willd.) Rothm.;;pink;red;herb;;-;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;26608478;http://www.tropicos.org/Name/26608478
35;Hypericaceae;Hypericum;aciculare;Hypericum aciculare;Hypericum aciculare Kunth;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Hypericum+aciculare;35. Hypericum aciculare Kunth;;yellow;;shrub;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;7800273;http://www.tropicos.org/Name/7800273
46;Asteraceae  ;Hypochaeris;sessiliflora;Hypochaeris sessiliflora;Hypochaeris sessiliflora Kunth;http://www.mobot.org/MOBOT/paramo/search_paramo.asp?searchFor=;Hypochaeris+sessiliflora;46. Hypochaeris sessiliflora Kunth;;white;yellow;rosette;;C. Ulloa;C. Ulloa;2003;Páramo del Cajas, Ecuador;http://www.tropicos.org/Name/;2702714;http://www.tropicos.org/Name/2702714
